Provinsi,Jenis Hutan,Bahan Baku,Kelompok Kayu Bulat,Jenis Kayu Olahan,Produk Ekspor,Volume(m3)
Lampung,Hutan Lindung,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Veneer,1103.65
Maluku,IUPHHK HA,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,108.14
Papua,IUPHHK HA,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Veneer,4439.53
Papua Barat,HKM HD HTR,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Kerajinan,2321.13
Riau,Hutan Produksi,Setengah Jadi,Hutan Tanaman Industri,Kayu Gergajian,Paper,712.11
Sulawesi Barat,HKM HD Kemitraan,Limbah,Kayu Eboni,Kayu Gergajian,Panel,0.0
Sulawesi Selatan,Hutan Produksi,Kayu Perkebunan,Rimba Campuran,Kayu Gergajian,Kerajinan,0.0
Sulawesi Tengah,IUPHHK HA,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,1304.55
Sulawesi Tenggara,Hutan Produksi,Setengah Jadi,Jenis Khusus,Kayu Gergajian,Veneer,210.25
Sumatera Barat,IUPHHK RE,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Panel,21.85
Sumatera Selatan,IUPHHK HTI,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Paper,3549.71
Sumatera Utara,HKM HD Kemitraan,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,6576.03
Aceh,Hutan Produksi,Setengah Jadi,Kayu Indah,Kayu Gergajian,Paper,0.0
Bali,IUPHHK RE,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Banten,IUPHHK HA,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Panel,0.0
Daerah Istimewa Yogyakarta,IUPHHK HA,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Kerajinan,0.0
Jambi,Hutan Produksi,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Woodworking,0.0
Jawa Barat,IUPHHK RE,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,0.0
Jawa Tengah,IUPHHK HA,Setengah Jadi,Kayu Eboni,Kayu Gergajian,Veneer,0.0
Jawa Timur,HKM HD HTR,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Paper,0.0
Kalimantan Barat,Hutan Produksi,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Paper,0.0
Kalimantan Selatan,HKM HD HTR,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Kerajinan,0.0
Kalimantan Tengah,Hutan Produksi,Limbah,Rimba Campuran,Kayu Gergajian,Veneer,0.0
Kalimantan Timur,IUPHHK RE,Setengah Jadi,Jenis Khusus,Kayu Gergajian,Veneer,0.0
Kalimantan Utara,IUPHHK HA,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Lampung,UPHHK HTR,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Panel,0.0
Maluku,HKM HD Kemitraan,Kayu Alam,Kayu Indah,Kayu Gergajian,Panel,0.0
Papua,IUPHHK RE,Setengah Jadi,Kayu Eboni,Kayu Gergajian,Paper,0.0
Papua Barat,IUPHHK HA,Kayu Alam,Rimba Campuran,Kayu Gergajian,Panel,0.0
Riau,UPHHK HTR,Kayu Alam,Kayu Eboni,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Sulawesi Barat,Hutan Lindung,Kayu Tanaman,Jenis Khusus,Kayu Gergajian,Kerajinan,0.0
Sulawesi Selatan,IUPHHK RE,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,0.0
Sulawesi Tengah,Hutan Lindung,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Veneer,0.0
Sulawesi Tenggara,IUPHHK HTI,Kayu Alam,Kayu Indah,Kayu Gergajian,Kerajinan,0.0
Sumatera Barat,Hutan Produksi,Kayu Alam,Kayu Eboni,Kayu Gergajian,Paper,0.0
Sumatera Selatan,Hutan Lindung,Limbah,Rimba Campuran,Kayu Gergajian,Chipwood,0.0
Sumatera Utara,IUPHHK HTI,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Paper,0.0
Aceh,UPHHK HTR,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Kerajinan,0.0
Bali,Hutan Lindung,Limbah,Kelompok Meranti,Kayu Gergajian,Veneer,0.0
Banten,IUPHHK HTI,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Woodworking,0.0
Daerah Istimewa Yogyakarta,IUPHHK RE,Kayu Perkebunan,Rimba Campuran,Kayu Gergajian,Kerajinan,0.0
Jambi,UPHHK HTR,Kayu Alam,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,0.0
Jawa Barat,Hutan Lindung,Limbah,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,0.0
Jawa Tengah,IUPHHK RE,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,0.0
Jawa Timur,IUPHHK RE,Limbah,Kelompok Meranti,Kayu Gergajian,Panel,0.0
Kalimantan Barat,IUPHHK RE,Setengah Jadi,Kayu Eboni,Kayu Gergajian,Veneer,0.0
Kalimantan Selatan,IUPHHK RE,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,0.0
Kalimantan Tengah,IUPHHK RE,Limbah,Kelompok Meranti,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Kalimantan Timur,HKM HD Kemitraan,Kayu Alam,Jenis Khusus,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Kalimantan Utara,IUPHHK RE,Setengah Jadi,Kayu Indah,Kayu Gergajian,Panel,0.0
Lampung,IUPHHK HTI,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Veneer,0.0
Maluku,UPHHK HTR,Kayu Tanaman,Jenis Khusus,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Papua,Hutan Produksi,Kayu Alam,Kayu Eboni,Kayu Gergajian,Panel,0.0
Papua Barat,Hutan Lindung,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Woodworking,0.0
Riau,HKM HD HTR,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Chipwood,0.0
Sulawesi Barat,IUPHHK HTI,Limbah,Rimba Campuran,Kayu Gergajian,Veneer,0.0
Sulawesi Selatan,UPHHK HTR,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Pulp,0.0
Sulawesi Tengah,HKM HD HTR,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Sulawesi Tenggara,UPHHK HTR,Kayu Alam,Kayu Indah,Kayu Gergajian,Veneer,0.0
Sumatera Barat,HKM HD HTR,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Woodworking,0.0
Sumatera Selatan,IUPHHK HA,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Pulp,0.0
Sumatera Utara,IUPHHK HA,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Chipwood,0.0
Aceh,UPHHK HTR,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Pulp,0.0
Bali,IUPHHK HA,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Banten,IUPHHK HA,Kayu Perkebunan,Rimba Campuran,Kayu Gergajian,Pulp,0.0
Daerah Istimewa Yogyakarta,UPHHK HTR,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Veneer,0.0
Jambi,Hutan Lindung,Kayu Tanaman,Jenis Khusus,Kayu Gergajian,Panel,0.0
Jawa Barat,IUPHHK RE,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,0.0
Jawa Tengah,HKM HD HTR,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,0.0
Jawa Timur,HKM HD HTR,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Paper,0.0
Kalimantan Barat,IUPHHK RE,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Kerajinan,0.0
Kalimantan Selatan,IUPHHK HTI,Limbah,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,0.0
Kalimantan Tengah,UPHHK HTR,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Panel,0.0
Kalimantan Timur,IUPHHK HTI,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Kalimantan Utara,IUPHHK HA,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Panel,0.0
Lampung,UPHHK HTR,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Panel,0.0
Maluku,IUPHHK HA,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Kerajinan,0.0
Papua,IUPHHK HTI,Kayu Alam,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,0.0
Papua Barat,IUPHHK HTI,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Panel,0.0
Riau,HKM HD Kemitraan,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Panel,0.0
Sulawesi Barat,IUPHHK RE,Kayu Alam,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,0.0
Sulawesi Selatan,IUPHHK HA,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Chipwood,0.0
Sulawesi Tengah,IUPHHK RE,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Veneer,0.0
Sulawesi Tenggara,UPHHK HTR,Setengah Jadi,Kayu Eboni,Kayu Gergajian,Pulp,0.0
Sumatera Barat,UPHHK HTR,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Veneer,0.0
Sumatera Selatan,IUPHHK RE,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Pulp,0.0
Sumatera Utara,HKM HD Kemitraan,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Paper,0.0
Aceh,IUPHHK HTI,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Panel,0.0
Bali,HKM HD HTR,Limbah,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,0.0
Banten,HKM HD HTR,Setengah Jadi,Kayu Indah,Kayu Gergajian,Furnitur Kayu,0.0
Daerah Istimewa Yogyakarta,IUPHHK RE,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Chipwood,0.0
Jambi,IUPHHK HTI,Limbah,Jenis Khusus,Kayu Gergajian,Kerajinan,0.0
Jawa Barat,HKM HD HTR,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Kerajinan,0.0
Jawa Tengah,Hutan Lindung,Kayu Alam,Jenis Khusus,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Jawa Timur,HKM HD HTR,Kayu Alam,Kayu Indah,Kayu Gergajian,Kerajinan,0.0
Kalimantan Barat,IUPHHK HTI,Limbah,Kelompok Meranti,Kayu Gergajian,Veneer,0.0
Kalimantan Selatan,Hutan Produksi,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,0.0
Kalimantan Tengah,HKM HD Kemitraan,Kayu Alam,Jenis Khusus,Kayu Gergajian,Furnitur Kayu,0.0
Kalimantan Timur,IUPHHK HA,Limbah,Kayu Eboni,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Kalimantan Utara,IUPHHK RE,Limbah,Rimba Campuran,Kayu Gergajian,Woodworking,0.0
Lampung,Hutan Produksi,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Panel,0.0
Maluku,IUPHHK HA,Setengah Jadi,Jenis Khusus,Kayu Gergajian,Panel,0.0
Papua,HKM HD Kemitraan,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Panel,0.0
Papua Barat,Hutan Lindung,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Woodworking,0.0
Riau,UPHHK HTR,Kayu Tanaman,Jenis Khusus,Kayu Gergajian,Furnitur Kayu,0.0
Sulawesi Barat,Hutan Lindung,Kayu Perkebunan,Rimba Campuran,Kayu Gergajian,Kerajinan,0.0
Sulawesi Selatan,IUPHHK HA,Limbah,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,0.0
Sulawesi Tengah,UPHHK HTR,Setengah Jadi,Kayu Indah,Kayu Gergajian,Woodworking,0.0
Sulawesi Tenggara,HKM HD HTR,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Paper,0.0
Sumatera Barat,HKM HD HTR,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Sumatera Selatan,Hutan Produksi,Setengah Jadi,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,0.0
Sumatera Utara,HKM HD HTR,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Woodworking,0.0
Aceh,Hutan Produksi,Limbah,Kayu Indah,Kayu Gergajian,Veneer,0.0
Bali,IUPHHK RE,Setengah Jadi,Kayu Eboni,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Banten,IUPHHK HTI,Setengah Jadi,Kayu Eboni,Kayu Gergajian,Panel,0.0
Daerah Istimewa Yogyakarta,IUPHHK HTI,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Paper,0.0
Jambi,IUPHHK HA,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,0.0
Jawa Barat,Hutan Lindung,Limbah,Rimba Campuran,Kayu Gergajian,Chipwood,0.0
Jawa Tengah,IUPHHK HTI,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Veneer,0.0
Jawa Timur,IUPHHK HA,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Pulp,0.0
Kalimantan Barat,Hutan Produksi,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Woodworking,0.0
Kalimantan Selatan,UPHHK HTR,Limbah,Jenis Khusus,Kayu Gergajian,Pulp,0.0
Kalimantan Tengah,HKM HD HTR,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Chipwood,0.0
Kalimantan Timur,Hutan Lindung,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Paper,0.0
Kalimantan Utara,Hutan Produksi,Kayu Alam,Kayu Eboni,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Lampung,Hutan Lindung,Limbah,Kayu Indah,Kayu Gergajian,Panel,0.0
Maluku,IUPHHK RE,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Veneer,0.0
Papua,UPHHK HTR,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,0.0
Papua Barat,HKM HD HTR,Kayu Alam,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,0.0
Riau,Hutan Produksi,Limbah,Kayu Eboni,Kayu Gergajian,Pulp,0.0
Sulawesi Barat,HKM HD Kemitraan,Limbah,Kelompok Meranti,Kayu Gergajian,Panel,0.0
Sulawesi Selatan,IUPHHK HTI,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Sulawesi Tengah,IUPHHK HTI,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Paper,0.0
Sulawesi Tenggara,IUPHHK RE,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Woodworking,0.0
Sumatera Barat,UPHHK HTR,Kayu Alam,Kayu Eboni,Kayu Gergajian,Veneer,0.0
Sumatera Selatan,HKM HD Kemitraan,Kayu Alam,Kayu Eboni,Kayu Gergajian,Woodworking,0.0
Sumatera Utara,IUPHHK HA,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Chipwood,0.0
Aceh,IUPHHK HTI,Kayu Tanaman,Jenis Khusus,Kayu Gergajian,Veneer,0.0
Bali,HKM HD Kemitraan,Setengah Jadi,Jenis Khusus,Kayu Gergajian,Chipwood,0.0
Banten,HKM HD HTR,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,0.0
Daerah Istimewa Yogyakarta,IUPHHK RE,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Jambi,HKM HD Kemitraan,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,0.0
Jawa Barat,IUPHHK HA,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Pulp,0.0
Jawa Tengah,Hutan Lindung,Kayu Alam,Jenis Khusus,Kayu Gergajian,Woodworking,0.0
Jawa Timur,UPHHK HTR,Kayu Alam,Jenis Kayu Lainnya,Kayu Gergajian,Woodworking,0.0
Kalimantan Barat,IUPHHK HA,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Paper,0.0
Kalimantan Selatan,UPHHK HTR,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Kalimantan Tengah,UPHHK HTR,Limbah,Rimba Campuran,Kayu Gergajian,Chipwood,0.0
Kalimantan Timur,UPHHK HTR,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Veneer,0.0
Kalimantan Utara,IUPHHK RE,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Chipwood,0.0
Lampung,HKM HD Kemitraan,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Kerajinan,0.0
Maluku,UPHHK HTR,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Papua,HKM HD Kemitraan,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Woodworking,0.0
Papua Barat,IUPHHK HA,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,0.0
Riau,UPHHK HTR,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Pulp,0.0
Sulawesi Barat,IUPHHK HTI,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Sulawesi Selatan,IUPHHK RE,Kayu Alam,Kayu Eboni,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Sulawesi Tengah,HKM HD HTR,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Woodworking,0.0
Sulawesi Tenggara,IUPHHK HTI,Setengah Jadi,Kayu Indah,Kayu Gergajian,Chipwood,0.0
Sumatera Barat,UPHHK HTR,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Kerajinan,0.0
Sumatera Selatan,IUPHHK HTI,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,0.0
Sumatera Utara,IUPHHK RE,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Paper,0.0
Aceh,UPHHK HTR,Kayu Alam,Jenis Khusus,Kayu Gergajian,Panel,0.0
Bali,IUPHHK HA,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Panel,0.0
Banten,Hutan Lindung,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Paper,0.0
Daerah Istimewa Yogyakarta,HKM HD Kemitraan,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Pulp,0.0
Jambi,UPHHK HTR,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Pulp,0.0
Jawa Barat,HKM HD Kemitraan,Limbah,Kayu Indah,Kayu Gergajian,Paper,0.0
Jawa Tengah,HKM HD Kemitraan,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Paper,0.0
Jawa Timur,HKM HD Kemitraan,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Pulp,0.0
Kalimantan Barat,IUPHHK RE,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Furnitur Kayu,0.0
Kalimantan Selatan,Hutan Produksi,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Veneer,0.0
Kalimantan Tengah,Hutan Produksi,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Pulp,0.0
Kalimantan Timur,HKM HD Kemitraan,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Kalimantan Utara,Hutan Produksi,Limbah,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,0.0
Lampung,UPHHK HTR,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Panel,0.0
Maluku,Hutan Lindung,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Kerajinan,0.0
Papua,IUPHHK HTI,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Woodworking,0.0
Papua Barat,IUPHHK RE,Kayu Tanaman,Jenis Khusus,Kayu Gergajian,Furnitur Kayu,0.0
Riau,IUPHHK HA,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Paper,0.0
Sulawesi Barat,HKM HD HTR,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Kerajinan,0.0
Sulawesi Selatan,UPHHK HTR,Setengah Jadi,Kayu Indah,Kayu Gergajian,Furnitur Kayu,0.0
Sulawesi Tengah,IUPHHK HA,Kayu Perkebunan,Rimba Campuran,Kayu Gergajian,Panel,0.0
Sulawesi Tenggara,IUPHHK HTI,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,0.0
Sumatera Barat,Hutan Lindung,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,0.0
Sumatera Selatan,IUPHHK RE,Kayu Tanaman,Jenis Khusus,Kayu Gergajian,Woodworking,0.0
Sumatera Utara,IUPHHK HTI,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Panel,0.0
Aceh,HKM HD Kemitraan,Setengah Jadi,Kayu Eboni,Kayu Gergajian,Paper,0.0
Bali,HKM HD HTR,Kayu Alam,Kayu Eboni,Kayu Gergajian,Pulp,0.0
Banten,HKM HD HTR,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Kerajinan,0.0
Daerah Istimewa Yogyakarta,IUPHHK RE,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Veneer,0.0
Jambi,IUPHHK HTI,Kayu Tanaman,Jenis Khusus,Kayu Gergajian,Chipwood,0.0
Jawa Barat,Hutan Produksi,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Woodworking,0.0
Jawa Tengah,Hutan Lindung,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,0.0
Jawa Timur,IUPHHK HA,Kayu Alam,Kayu Indah,Kayu Gergajian,Woodworking,0.0
Kalimantan Barat,Hutan Produksi,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Kalimantan Selatan,Hutan Lindung,Kayu Alam,Jenis Khusus,Kayu Gergajian,Chipwood,0.0
Kalimantan Tengah,UPHHK HTR,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Woodworking,0.0
Kalimantan Timur,HKM HD Kemitraan,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Woodworking,0.0
Kalimantan Utara,Hutan Lindung,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Paper,0.0
Lampung,IUPHHK HTI,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Furnitur Kayu,0.0
Maluku,Hutan Lindung,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Veneer,0.0
Papua,HKM HD Kemitraan,Limbah,Kayu Indah,Kayu Gergajian,Woodworking,0.0
Papua Barat,UPHHK HTR,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Paper,0.0
Riau,Hutan Lindung,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Woodworking,0.0
Sulawesi Barat,Hutan Lindung,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Chipwood,0.0
Sulawesi Selatan,IUPHHK HA,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Chipwood,0.0
Sulawesi Tengah,Hutan Lindung,Limbah,Hutan Tanaman Industri,Kayu Gergajian,Paper,0.0
Sulawesi Tenggara,UPHHK HTR,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Chipwood,0.0
Sumatera Barat,IUPHHK RE,Limbah,Hutan Tanaman Industri,Kayu Gergajian,Woodworking,0.0
Sumatera Selatan,IUPHHK HA,Kayu Alam,Kayu Indah,Kayu Gergajian,Paper,0.0
Sumatera Utara,IUPHHK HTI,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Chipwood,0.0
Bali,Hutan Lindung,Setengah Jadi,Kayu Eboni,Kayu Lapis dan LVL,Veneer,193.6
Banten,IUPHHK RE,Limbah,Hutan Tanaman Industri,Kayu Lapis dan LVL,Kerajinan,7328.96
Daerah Istimewa Yogyakarta,UPHHK HTR,Setengah Jadi,Kayu Indah,Kayu Lapis dan LVL,Chipwood,0.0
Jambi,HKM HD Kemitraan,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Lapis dan LVL,Furnitur Kayu,10577.56
Jawa Barat,IUPHHK HTI,Kayu Perkebunan,Kayu Eboni,Kayu Lapis dan LVL,Veneer,4567.94
Jawa Tengah,Hutan Lindung,Setengah Jadi,Rimba Campuran,Kayu Lapis dan LVL,Kerajinan,72009.7
Jawa Timur,Hutan Lindung,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Bangunan Prefabrikasi,103568.29
Kalimantan Barat,IUPHHK HTI,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Pulp,10629.47
Kalimantan Selatan,Hutan Produksi,Kayu Alam,Kayu Indah,Kayu Lapis dan LVL,Furnitur Kayu,17663.66
Kalimantan Tengah,IUPHHK RE,Kayu Alam,Kayu Indah,Kayu Lapis dan LVL,Paper,6221.84
Kalimantan Timur,HKM HD HTR,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Lapis dan LVL,Chipwood,13110.68
Kalimantan Utara,IUPHHK HTI,Setengah Jadi,Jenis Kayu Lainnya,Kayu Lapis dan LVL,Woodworking,8831.0
Lampung,HKM HD Kemitraan,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Panel,1946.96
Maluku,IUPHHK RE,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Panel,150.62
Papua,IUPHHK HTI,Kayu Alam,Kelompok Meranti,Kayu Lapis dan LVL,Bangunan Prefabrikasi,2855.88
Riau,Hutan Lindung,Limbah,Jenis Khusus,Kayu Lapis dan LVL,Panel,2940.19
Sumatera Selatan,HKM HD HTR,Limbah,Hutan Tanaman Industri,Kayu Lapis dan LVL,Bangunan Prefabrikasi,1223.15
Sumatera Utara,UPHHK HTR,Limbah,Jenis Khusus,Kayu Lapis dan LVL,Woodworking,3836.09
Bali,Hutan Lindung,Setengah Jadi,Kayu Eboni,Kayu Lapis dan LVL,Furnitur Kayu,275.76
Banten,HKM HD Kemitraan,Kayu Alam,Kayu Indah,Kayu Lapis dan LVL,Bangunan Prefabrikasi,6888.41
Daerah Istimewa Yogyakarta,HKM HD Kemitraan,Setengah Jadi,Kayu Indah,Kayu Lapis dan LVL,Kerajinan,0.0
Jambi,IUPHHK RE,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Panel,9515.07
Jawa Barat,IUPHHK RE,Kayu Tanaman,Kayu Eboni,Kayu Lapis dan LVL,Furnitur Kayu,3474.47
Jawa Tengah,UPHHK HTR,Setengah Jadi,Hutan Tanaman Industri,Kayu Lapis dan LVL,Woodworking,59334.89
Jawa Timur,UPHHK HTR,Limbah,Hutan Tanaman Industri,Kayu Lapis dan LVL,Pulp,88363.76
Kalimantan Barat,HKM HD HTR,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Lapis dan LVL,Chipwood,10634.01
Kalimantan Selatan,HKM HD HTR,Limbah,Kayu Indah,Kayu Lapis dan LVL,Panel,13661.37
